"date","price","source"
"2019-04-01","69.17","Daily Retail Selling Price of Diesel (in 2019-20) (1).xlsx"
"2019-04-02","69.17","Daily Retail Selling Price of Diesel (in 2019-20) (1).xlsx"
"2019-04-03","69.17","Daily Retail Selling Price of Diesel (in 2019-20) (1).xlsx"
"2019-04-04","69.22","Daily Retail Selling Price of Diesel (in 2019-20) (1).xlsx"
"2019-04-05","69.22","Daily Retail Selling Price of Diesel (in 2019-20) (1).xlsx"
"2019-04-06","69.27","Daily Retail Selling Price of Diesel (in 2019-20) (1).xlsx"
"2019-04-07","69.19","Daily Retail Selling Price of Diesel (in 2019-20) (1).xlsx"
"2019-04-08","69.19","Daily Retail Selling Price of Diesel (in 2019-20) (1).xlsx"
"2019-04-09","69.19","Daily Retail Selling Price of Diesel (in 2019-20) (1).xlsx"
"2019-04-10","69.19","Daily Retail Selling Price of Diesel (in 2019-20) (1).xlsx"
"2019-04-11","69.19","Daily Retail Selling Price of Diesel (in 2019-20) (1).xlsx"
"2019-04-12","69.27","Daily Retail Selling Price of Diesel (in 2019-20) (1).xlsx"
"2019-04-13","69.27","Daily Retail Selling Price of Diesel (in 2019-20) (1).xlsx"
"2019-04-14","69.35","Daily Retail Selling Price of Diesel (in 2019-20) (1).xlsx"
"2019-04-15","69.35","Daily Retail Selling Price of Diesel (in 2019-20) (1).xlsx"
"2019-04-16","69.4","Daily Retail Selling Price of Diesel (in 2019-20) (1).xlsx"
"2019-04-17","69.4","Daily Retail Selling Price of Diesel (in 2019-20) (1).xlsx"
"2019-04-18","69.4","Daily Retail Selling Price of Diesel (in 2019-20) (1).xlsx"
"2019-04-19","69.4","Daily Retail Selling Price of Diesel (in 2019-20) (1).xlsx"
"2019-04-20","69.49","Daily Retail Selling Price of Diesel (in 2019-20) (1).xlsx"
"2019-04-21","69.56","Daily Retail Selling Price of Diesel (in 2019-20) (1).xlsx"
"2019-04-22","69.56","Daily Retail Selling Price of Diesel (in 2019-20) (1).xlsx"
"2019-04-23","69.56","Daily Retail Selling Price of Diesel (in 2019-20) (1).xlsx"
"2019-04-24","69.56","Daily Retail Selling Price of Diesel (in 2019-20) (1).xlsx"
"2019-04-25","69.65","Daily Retail Selling Price of Diesel (in 2019-20) (1).xlsx"
"2019-04-26","69.72","Daily Retail Selling Price of Diesel (in 2019-20) (1).xlsx"
"2019-04-27","69.72","Daily Retail Selling Price of Diesel (in 2019-20) (1).xlsx"
"2019-04-28","69.72","Daily Retail Selling Price of Diesel (in 2019-20) (1).xlsx"
"2019-04-29","69.77","Daily Retail Selling Price of Diesel (in 2019-20) (1).xlsx"
"2019-04-30","69.83","Daily Retail Selling Price of Diesel (in 2019-20) (1).xlsx"
"2019-05-01","69.83","Daily Retail Selling Price of Diesel (in 2019-20) (1).xlsx"
"2019-05-02","69.77","Daily Retail Selling Price of Diesel (in 2019-20) (1).xlsx"
"2019-05-03","69.77","Daily Retail Selling Price of Diesel (in 2019-20) (1).xlsx"
"2019-05-04","69.86","Daily Retail Selling Price of Diesel (in 2019-20) (1).xlsx"
"2019-05-05","69.81","Daily Retail Selling Price of Diesel (in 2019-20) (1).xlsx"
"2019-05-06","69.81","Daily Retail Selling Price of Diesel (in 2019-20) (1).xlsx"
"2019-05-07","69.81","Daily Retail Selling Price of Diesel (in 2019-20) (1).xlsx"
"2019-05-08","69.81","Daily Retail Selling Price of Diesel (in 2019-20) (1).xlsx"
"2019-05-09","69.74","Daily Retail Selling Price of Diesel (in 2019-20) (1).xlsx"
"2019-05-10","69.65","Daily Retail Selling Price of Diesel (in 2019-20) (1).xlsx"
"2019-05-11","69.45","Daily Retail Selling Price of Diesel (in 2019-20) (1).xlsx"
"2019-05-12","69.27","Daily Retail Selling Price of Diesel (in 2019-20) (1).xlsx"
"2019-05-13","69.13","Daily Retail Selling Price of Diesel (in 2019-20) (1).xlsx"
"2019-05-14","69","Daily Retail Selling Price of Diesel (in 2019-20) (1).xlsx"
"2019-05-15","69","Daily Retail Selling Price of Diesel (in 2019-20) (1).xlsx"
"2019-05-16","69.05","Daily Retail Selling Price of Diesel (in 2019-20) (1).xlsx"
"2019-05-17","69.11","Daily Retail Selling Price of Diesel (in 2019-20) (1).xlsx"
"2019-05-18","69.11","Daily Retail Selling Price of Diesel (in 2019-20) (1).xlsx"
"2019-05-19","69.11","Daily Retail Selling Price of Diesel (in 2019-20) (1).xlsx"
"2019-05-20","69.27","Daily Retail Selling Price of Diesel (in 2019-20) (1).xlsx"
"2019-05-21","69.36","Daily Retail Selling Price of Diesel (in 2019-20) (1).xlsx"
"2019-05-22","69.36","Daily Retail Selling Price of Diesel (in 2019-20) (1).xlsx"
"2019-05-23","69.46","Daily Retail Selling Price of Diesel (in 2019-20) (1).xlsx"
"2019-05-24","69.63","Daily Retail Selling Price of Diesel (in 2019-20) (1).xlsx"
"2019-05-25","69.75","Daily Retail Selling Price of Diesel (in 2019-20) (1).xlsx"
"2019-05-26","69.83","Daily Retail Selling Price of Diesel (in 2019-20) (1).xlsx"
"2019-05-27","69.83","Daily Retail Selling Price of Diesel (in 2019-20) (1).xlsx"
"2019-05-28","69.88","Daily Retail Selling Price of Diesel (in 2019-20) (1).xlsx"
"2019-05-29","69.88","Daily Retail Selling Price of Diesel (in 2019-20) (1).xlsx"
"2019-05-30","69.82","Daily Retail Selling Price of Diesel (in 2019-20) (1).xlsx"
"2019-05-31","69.69","Daily Retail Selling Price of Diesel (in 2019-20) (1).xlsx"
"2019-06-01","69.58","Daily Retail Selling Price of Diesel (in 2019-20) (1).xlsx"
"2019-06-02","69.37","Daily Retail Selling Price of Diesel (in 2019-20) (1).xlsx"
"2019-06-03","68.97","Daily Retail Selling Price of Diesel (in 2019-20) (1).xlsx"
"2019-06-04","68.76","Daily Retail Selling Price of Diesel (in 2019-20) (1).xlsx"
"2019-06-05","68.76","Daily Retail Selling Price of Diesel (in 2019-20) (1).xlsx"
"2019-06-06","68.39","Daily Retail Selling Price of Diesel (in 2019-20) (1).xlsx"
"2019-06-07","68.06","Daily Retail Selling Price of Diesel (in 2019-20) (1).xlsx"
"2019-06-08","67.79","Daily Retail Selling Price of Diesel (in 2019-20) (1).xlsx"
"2019-06-09","67.63","Daily Retail Selling Price of Diesel (in 2019-20) (1).xlsx"
"2019-06-10","67.51","Daily Retail Selling Price of Diesel (in 2019-20) (1).xlsx"
"2019-06-11","67.51","Daily Retail Selling Price of Diesel (in 2019-20) (1).xlsx"
"2019-06-12","67.51","Daily Retail Selling Price of Diesel (in 2019-20) (1).xlsx"
"2019-06-13","67.45","Daily Retail Selling Price of Diesel (in 2019-20) (1).xlsx"
"2019-06-14","67.28","Daily Retail Selling Price of Diesel (in 2019-20) (1).xlsx"
"2019-06-15","67.03","Daily Retail Selling Price of Diesel (in 2019-20) (1).xlsx"
"2019-06-16","66.93","Daily Retail Selling Price of Diesel (in 2019-20) (1).xlsx"
"2019-06-17","66.93","Daily Retail Selling Price of Diesel (in 2019-20) (1).xlsx"
"2019-06-18","66.93","Daily Retail Selling Price of Diesel (in 2019-20) (1).xlsx"
"2019-06-19","66.93","Daily Retail Selling Price of Diesel (in 2019-20) (1).xlsx"
"2019-06-20","66.87","Daily Retail Selling Price of Diesel (in 2019-20) (1).xlsx"
