"date","price","source"
"2018-03-31","68.58","Daily Retail Selling Price of Diesel (in 2017-18).xlsx"
"2018-03-30","68.3","Daily Retail Selling Price of Diesel (in 2017-18).xlsx"
"2018-03-29","68.07","Daily Retail Selling Price of Diesel (in 2017-18).xlsx"
"2018-03-28","67.91","Daily Retail Selling Price of Diesel (in 2017-18).xlsx"
"2018-03-27","67.91","Daily Retail Selling Price of Diesel (in 2017-18).xlsx"
"2018-03-26","67.79","Daily Retail Selling Price of Diesel (in 2017-18).xlsx"
"2018-03-25","67.55","Daily Retail Selling Price of Diesel (in 2017-18).xlsx"
"2018-03-24","67.3","Daily Retail Selling Price of Diesel (in 2017-18).xlsx"
"2018-03-23","67.1","Daily Retail Selling Price of Diesel (in 2017-18).xlsx"
"2018-03-22","66.96","Daily Retail Selling Price of Diesel (in 2017-18).xlsx"
"2018-03-21","66.88","Daily Retail Selling Price of Diesel (in 2017-18).xlsx"
"2018-03-20","66.88","Daily Retail Selling Price of Diesel (in 2017-18).xlsx"
"2018-03-19","66.81","Daily Retail Selling Price of Diesel (in 2017-18).xlsx"
"2018-03-18","66.78","Daily Retail Selling Price of Diesel (in 2017-18).xlsx"
"2018-03-17","66.82","Daily Retail Selling Price of Diesel (in 2017-18).xlsx"
"2018-03-16","66.89","Daily Retail Selling Price of Diesel (in 2017-18).xlsx"
"2018-03-15","66.95","Daily Retail Selling Price of Diesel (in 2017-18).xlsx"
"2018-03-14","66.93","Daily Retail Selling Price of Diesel (in 2017-18).xlsx"
"2018-03-13","66.93","Daily Retail Selling Price of Diesel (in 2017-18).xlsx"
"2018-03-12","66.95","Daily Retail Selling Price of Diesel (in 2017-18).xlsx"
"2018-03-11","66.97","Daily Retail Selling Price of Diesel (in 2017-18).xlsx"
"2018-03-10","66.96","Daily Retail Selling Price of Diesel (in 2017-18).xlsx"
"2018-03-09","66.96","Daily Retail Selling Price of Diesel (in 2017-18).xlsx"
"2018-03-08","67","Daily Retail Selling Price of Diesel (in 2017-18).xlsx"
"2018-03-07","67.05","Daily Retail Selling Price of Diesel (in 2017-18).xlsx"
"2018-03-06","67.05","Daily Retail Selling Price of Diesel (in 2017-18).xlsx"
"2018-03-05","66.97","Daily Retail Selling Price of Diesel (in 2017-18).xlsx"
"2018-03-04","66.96","Daily Retail Selling Price of Diesel (in 2017-18).xlsx"
"2018-03-03","66.76","Daily Retail Selling Price of Diesel (in 2017-18).xlsx"
"2018-03-02","66.54","Daily Retail Selling Price of Diesel (in 2017-18).xlsx"
"2018-03-01","66.3","Daily Retail Selling Price of Diesel (in 2017-18).xlsx"
"2018-02-28","66.19","Daily Retail Selling Price of Diesel (in 2017-18).xlsx"
"2018-02-27","66.19","Daily Retail Selling Price of Diesel (in 2017-18).xlsx"
"2018-02-26","66.21","Daily Retail Selling Price of Diesel (in 2017-18).xlsx"
"2018-02-25","66.16","Daily Retail Selling Price of Diesel (in 2017-18).xlsx"
"2018-02-24","66.18","Daily Retail Selling Price of Diesel (in 2017-18).xlsx"
"2018-02-23","66.25","Daily Retail Selling Price of Diesel (in 2017-18).xlsx"
"2018-02-22","66.34","Daily Retail Selling Price of Diesel (in 2017-18).xlsx"
"2018-02-21","66.35","Daily Retail Selling Price of Diesel (in 2017-18).xlsx"
