"date","price","source"
"2018-04-01","68.77","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-04-02","68.89","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-04-03","69.02","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-04-04","69.02","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-04-05","69.06","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-04-06","69.09","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-04-07","69.13","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-04-08","69.17","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-04-09","69.14","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-04-10","69.17","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-04-11","69.17","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-04-12","69.14","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-04-13","69.17","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-04-14","69.23","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-04-15","69.31","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-04-16","69.41","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-04-17","69.41","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-04-18","69.41","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-04-19","69.5","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-04-20","69.54","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-04-21","69.7","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-04-22","69.91","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-04-23","70.01","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-04-24","70.2","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-04-25","70.2","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-04-26","70.2","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-04-27","70.2","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-04-28","70.2","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-04-29","70.2","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-04-30","70.2","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-05-01","70.2","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-05-02","70.2","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-05-03","70.2","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-05-04","70.2","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-05-05","70.2","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-05-06","70.2","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-05-07","70.2","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-05-08","70.2","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-05-09","70.2","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-05-10","70.2","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-05-11","70.2","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-05-12","70.2","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-05-13","70.2","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-05-14","70.43","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-05-15","70.66","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-05-16","70.88","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-05-17","71.12","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-05-18","71.42","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-05-19","71.67","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-05-20","71.94","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-05-21","72.21","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-05-22","72.48","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-05-23","72.76","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-05-24","72.96","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-05-25","73.2","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-05-26","73.36","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-05-27","73.53","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-05-28","73.64","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-05-29","73.79","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-05-30","73.78","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-05-31","73.73","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-06-01","73.67","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-06-02","73.58","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-06-03","73.58","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-06-04","73.43","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-06-05","73.33","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-06-06","73.25","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-06-07","73.17","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-06-08","73.02","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-06-09","72.7","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-06-10","72.51","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-06-11","72.35","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-06-12","72.24","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-06-13","72.24","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-06-14","72.24","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-06-15","72.24","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-06-16","72.24","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-06-17","72.13","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-06-18","72.13","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-06-19","72.13","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-06-20","72.13","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-06-21","71.99","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-06-22","71.99","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-06-23","71.87","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-06-24","71.76","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-06-25","71.66","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-06-26","71.52","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-06-27","71.52","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-06-28","71.52","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-06-29","71.49","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-06-30","71.49","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-07-01","71.49","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-07-02","71.49","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-07-03","71.49","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-07-04","71.49","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-07-05","71.62","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-07-06","71.79","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-07-07","71.9","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-07-08","72","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-07-09","72.23","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-07-10","72.4","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-07-11","72.4","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-07-12","72.47","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-07-13","72.61","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-07-14","72.8","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-07-15","72.8","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-07-16","72.65","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-07-17","72.65","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-07-18","72.65","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-07-19","72.56","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-07-20","72.44","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-07-21","72.28","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
"2018-07-22","72.17","Daily Retail Selling Price of Diesel (in 2018-19).xlsx"
